RUN: 1
recall	0,95	0,95	
macro-avg. recall	0,9545525902668759	0,9545525902668759	
macro-avg. Pos/Neg recall	0,9647959183673469	0,9647959183673469	
precision	0,2894736842105263	0,631578947368421	
macro-avg. precision	0,3073228414172687	0,5687435500515995	
macro-avg. Pos/Neg precision	0,4139254385964912	0,37664473684210525	
positiveRecall	0,9795918367346939	0,9795918367346939	
positivePrecision	0,020833333333333332	0,4375	
neutralRecall	0,9340659340659341	0,9340659340659341	
neutralPrecision	0,09411764705882353	0,9529411764705882	
negativeRecall	0,95	0,95	
negativePrecision	0,8070175438596491	0,3157894736842105	
f-Measure	0,44373673036093425	0,7587354409317804	
cpu-time (for complete test-set)	190,624074	63,235342	
training-size	10,0	509,0	
test-size	200,0	200,0	

RUN: 2
recall	0,915	0,915	
macro-avg. recall	0,917251461988304	0,917251461988304	
macro-avg. Pos/Neg recall	0,9232456140350878	0,9232456140350878	
precision	0,4972677595628415	0,644808743169399	
macro-avg. precision	0,36477987421383645	0,5785000066483174	
macro-avg. Pos/Neg precision	0,04716981132075472	0,4084476843910806	
positiveRecall	0,9166666666666666	0,9166666666666666	
positivePrecision	0,0	0,4772727272727273	
neutralRecall	0,9052631578947369	0,9052631578947369	
neutralPrecision	1,0	0,9186046511627907	
negativeRecall	0,9298245614035088	0,9298245614035088	
negativePrecision	0,09433962264150944	0,33962264150943394	
f-Measure	0,6443537309679043	0,7565030040813467	
cpu-time (for complete test-set)	69,352416	30,842009	
training-size	10,0	509,0	
test-size	200,0	200,0	

RUN: 3
recall	0,945	0,945	
macro-avg. recall	0,9473484848484848	0,9473484848484848	
macro-avg. Pos/Neg recall	0,9522727272727273	0,9522727272727273	
precision	0,544973544973545	0,6349206349206349	
macro-avg. precision	0,46895015316067945	0,569785575048733	
macro-avg. Pos/Neg precision	0,31453634085213034	0,3991228070175439	
positiveRecall	0,9545454545454546	0,9545454545454546	
positivePrecision	0,19047619047619047	0,5	
neutralRecall	0,9375	0,9375	
neutralPrecision	0,7777777777777778	0,9111111111111111	
negativeRecall	0,95	0,95	
negativePrecision	0,43859649122807015	0,2982456140350877	
f-Measure	0,6912874416292325	0,7595318229768424	
cpu-time (for complete test-set)	51,18295	32,466161	
training-size	10,0	509,0	
test-size	200,0	200,0	

