RUN: 1
recall	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	
macro-avg. recall	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	
precision	0,4080267558528428	0,42474916387959866	0,41471571906354515	0,4414715719063545	0,46488294314381273	
macro-avg. precision	0,40723905723905723	0,4264646464646465	0,4163299663299663	0,442962962962963	0,4664309764309764	
macro-avg. Pos/Neg precision	0,525	0,16999999999999998	0,175	0,22	0,235	
positiveRecall	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,2	0,24	0,23	0,3	0,31	
neutralRecall	0,99	0,99	0,99	0,99	0,99	
neutralPrecision	0,1717171717171717	0,9393939393939394	0,898989898989899	0,8888888888888888	0,9292929292929293	
negativeRecall	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,85	0,1	0,12	0,14	0,16	
f-Measure	0,5790112776882723	0,595650230194273	0,5857141728738319	0,6119022333160208	0,634030251485496	
cpu-time (for complete test-set)	125,26884	123,281968	123,87627	121,214652	118,858623	
training-size	200,0	400,0	600,0	800,0	984,0	
test-size	300,0	300,0	300,0	300,0	300,0	

RUN: 2
recall	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	
precision	0,37	0,4066666666666667	0,43333333333333335	0,45666666666666667	0,5066666666666667	
macro-avg. precision	0,36999999999999994	0,4066666666666667	0,43333333333333335	0,4566666666666667	0,5066666666666667	
macro-avg. Pos/Neg precision	0,475	0,16499999999999998	0,21999999999999997	0,25	0,555	
positiveRecall	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,87	0,24	0,29	0,33	0,33	
neutralRecall	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,16	0,89	0,86	0,87	0,41	
negativeRecall	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,08	0,09	0,15	0,17	0,78	
f-Measure	0,5401459854014599	0,5781990521327014	0,6046511627906976	0,6270022883295195	0,6725663716814159	
cpu-time (for complete test-set)	118,917804	115,682912	115,620845	113,618499	113,348204	
training-size	200,0	400,0	600,0	800,0	984,0	
test-size	300,0	300,0	300,0	300,0	300,0	

RUN: 3
recall	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	
precision	0,38333333333333336	0,45666666666666667	0,43333333333333335	0,44666666666666666	0,4533333333333333	
macro-avg. precision	0,3833333333333333	0,4566666666666667	0,43333333333333335	0,4466666666666667	0,45333333333333337	
macro-avg. Pos/Neg precision	0,545	0,23	0,185	0,21500000000000002	0,225	
positiveRecall	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,17	0,27	0,25	0,27	0,27	
neutralRecall	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,06	0,91	0,93	0,91	0,91	
negativeRecall	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,92	0,19	0,12	0,16	0,18	
