recall	0,766					
recall StdDev	0,0148392055					
macro-avg. recall	0,747					
macro-avg. recall StdDev	0,0168475038					
macro-avg. Pos/Neg recall	0,722					
macro-avg. Pos/Neg recall StdDev	0,0233549683					
precision	0,766					
precision StdDev	0,0148392055					
macro-avg. precision	0,7378					
macro-avg. precision StdDev	0,0196730858					
macro-avg. Pos/Neg precision	0,6904					
macro-avg. Pos/Neg precision StdDev	0,0281740621					
positiveRecall	0,7796562196					
positiveRecall StdDev	0,0285330885					
positivePrecision	0,6718809278					
positivePrecision StdDev	0,0311837309					
positive fmeasure	0,7212911195					
positive fmeasure StdDev	0,0239583095					
neutralRecall	0,7959217335					
neutralRecall StdDev	0,019924263					
neutralPrecision	0,8328571821					
neutralPrecision StdDev	0,0169180468					
neutral fmeasure	0,8137731158					
neutral fmeasure StdDev	0,0136074569					
negativeRecall	0,665206627					
negativeRecall StdDev	0,0391062018					
negativePrecision	0,7086137061					
negativePrecision StdDev	0,0444773583					
negative fmeasure	0,6855653994					
negative fmeasure StdDev	0,0359297252					
micro f-Measure	0,766			0,766	0,7404	0,7034
micro f-Measure StdDev	0,0148392055			0,0148392055	0,0171693878	0,0221664958
micro pos/neg f-Measure	0,706					
micro pos/neg f-Measure StdDev	0,0215087485					
macro f-Measure	0,7404					
macro f-Measure StdDev	0,0171693878					
macro pos/neg f-Measure	0,7034					
macro pos/neg f-Measure StdDev	0,0221664958					
other pos/neg f-Measure	0,7031					
other pos/neg f-Measure StdDev	0,0217745566					
accuracy	0,7658431913					
accuracy StdDev	0,0144587026					
average accuracy	0,8438					
average accuracy StdDev	0,0104233615					
error rate	0,5926					
error rate StdDev	0,0077355274					
cpu-time (for complete test-set)	203,84192875					
cpu-time (for complete test-set) StdDev	9,4946556742					
training-size	2442					
training-size StdDev	0					
test-size	600					
test-size StdDev	0					
