ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEUTRAL	Woooop	{9=1.0, 11=0.5144231033742855, 12=1.0}	
POSITIVE	NEUTRAL	nice	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=1.0, 11=0.7826658670642671, 12=1.0, 13=0.7826658670642671, 15=1.0, 18=0.5973597359735974, 19=1.0, 20=0.5973597359735974, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 64=1.0}	
POSITIVE	NEUTRAL	AHA CUDDLE	{8=1.0, 11=0.8720599481725602, 12=1.0, 13=0.8720599481725602, 15=1.0, 17=1.0, 18=1.0044004400440043, 19=2.0, 20=0.5973597359735974, 21=0.40704070407040704, 30=1.0, 32=0.5, 33=1.0}	
POSITIVE	NEGATIVE	US OP 4Head	{9=2.0, 11=1.0081867548430048, 12=2.0, 16=2.0, 18=1.0312031203120313, 19=2.0, 45=1.0, 46=0.25, 47=1.0, 49=0.25, 1082=1.0}	
POSITIVE	NEUTRAL	Toooop top	{1=2.0, 4=1.4, 5=2.0, 6=0.7, 8=2.0, 11=1.3039717865061595, 12=2.0, 13=0.6519858932530798, 16=2.0, 18=1.0667066706670667, 19=2.0, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 344=1.0}	
POSITIVE	NEGATIVE	rekt	{43=1.0, 46=1.0, 47=1.0, 48=1.0, 166=1.0}	
POSITIVE	NEUTRAL	one tap'd	{8=2.0, 9=1.0, 11=1.750997210561354, 12=3.0, 13=0.6643485532881815, 16=3.0, 18=1.5520552055205523, 19=3.0}	
POSITIVE	NEUTRAL	End of the giveaway,stop typing #loseinarow and wait for the next game :D	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=2.0, 9=5.0, 11=3.871889390779998, 12=7.0, 13=0.7606694652750652, 15=3.0, 16=10.0, 18=6.800580058005801, 19=13.0, 20=0.6378637863786379, 31=1.0, 33=1.0, 35=0.0, 116=0.305723410334506, 228=0.42922618773216753, 478=0.47496050891252606, 981=0.5206948300928845, 1324=0.47496050891252606}	
POSITIVE	NEUTRAL	PETA = PEOPLE EATING TASTY ANIMALS	{8=2.0, 9=1.0, 11=1.8995802087402414, 12=3.0, 13=0.7744185918561597, 15=2.0, 16=2.0, 17=1.0, 18=2.4651465146514653, 19=5.0, 20=0.5796579657965797, 21=0.34623462346234624, 473=0.6282081365862122, 1099=0.7780453310231217}	
POSITIVE	NEGATIVE	now THAT is a good casting call, dendi invoker has sucked	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=3.0, 9=2.0, 11=3.191095803737958, 12=5.0, 13=0.911970378032208, 15=1.0, 16=6.0, 17=2.0, 18=4.455845584558456, 19=9.0, 20=0.5824582458245825, 21=0.39543954395439546, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 52=1.0, 53=1.0, 54=2.0, 55=0.7, 56=0.3, 267=0.4781098683909159, 492=0.41155103962738426, 654=0.3806029466823433, 1220=0.4781098683909159, 1616=0.4781098683909159}	
