ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEGATIVE	@ceejaaydagoat_ on god😂😂	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=2.0, 11=1.1989359419444643, 12=2.0, 13=0.6382367666719851, 15=1.0, 16=2.0, 18=1.602760276027603, 19=3.0, 20=0.5843584358435844, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 109=1.0}	
POSITIVE	NEGATIVE	'We shouyld be fine'	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=2.0, 11=1.3975692820634145, 12=2.0, 13=0.7207920465236552, 15=1.0, 16=2.0, 18=1.5744574457445744, 19=3.0, 20=0.556955695569557, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 31=1.0, 33=1.0, 35=0.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 1738=1.0}	
POSITIVE	NEGATIVE	I'm glad we got rid of those old cow emotes and replaced them with this good goat one	{1=2.0, 4=1.6, 5=2.0, 6=0.8, 8=5.0, 9=2.0, 10=2.0, 11=5.198270217928334, 12=9.0, 13=0.911970378032208, 14=0.2654643287466233, 15=3.0, 16=13.0, 17=2.0, 18=9.091809180918094, 19=18.0, 20=0.6339633963396339, 21=0.40554055405540557, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 31=2.0, 32=2.0, 33=4.0, 34=1.0, 35=0.0, 50=2.0, 52=1.0, 53=1.7, 54=3.0, 55=0.7, 56=0.3, 959=0.7071067811865476, 1106=0.7071067811865476}	
POSITIVE	NEGATIVE	@Megasnoop, I got my first phone yesterday! :D	{8=2.0, 9=2.0, 11=2.528139218847142, 12=4.0, 13=0.8349059458507788, 15=1.0, 16=5.0, 17=1.0, 18=3.474947494749475, 19=7.0, 20=0.628062806280628, 21=0.42284228422842285, 420=1.0}	
POSITIVE	NEGATIVE	If you like the stream, make sure to hit that follow button ❤ If you want to support Maren more - subscribe to her SeemsGood	{1=3.0, 4=1.9999999999999998, 5=3.0, 6=0.7, 8=8.0, 9=2.0, 10=1.0, 11=6.984715856885843, 12=11.0, 13=0.8500525426806121, 14=0.3699719955765115, 15=5.0, 16=15.0, 17=1.0, 18=10.850885088508853, 19=21.0, 20=0.6339633963396339, 21=0.41614161416141615, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=5.0, 32=5.0, 33=5.0, 34=1.0, 43=1.0, 46=0.75, 47=1.0, 48=0.75, 50=3.0, 53=1.9999999999999998, 54=3.0, 55=0.7, 62=0.27500467485050495, 150=0.37591609457880887, 514=0.3892686482664525, 950=0.43074546840020167, 953=0.4722222885339508, 1384=0.4722222885339508}	
POSITIVE	NEGATIVE	D:	{17=1.0, 18=0.4389438943894389, 19=1.0, 21=0.4389438943894389, 1656=1.0}	
POSITIVE	NEGATIVE	Billy is like "awwww yissss human!"	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=2.0, 9=1.0, 11=2.065714112798957, 12=3.0, 13=0.8500525426806121, 15=1.0, 16=4.0, 17=1.0, 18=2.993699369936994, 19=6.0, 20=0.5543554355435544, 21=0.44354435443544354, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
POSITIVE	NEGATIVE	@scudpunk hey man sorry my sister wasn't able to make it to the stream today only my parents and I :)	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=7.0, 9=4.0, 11=6.729209879124326, 12=11.0, 13=0.789565188685993, 15=1.0, 16=17.0, 17=2.0, 18=9.588358835883588, 19=20.0, 20=0.6062606260626062, 21=0.37613761376137617, 24=1.0, 26=1.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 50=1.0, 52=1.0, 53=1.0, 54=2.0, 55=0.7, 56=0.3, 62=0.3781743002603192, 414=0.46857595506163113, 549=0.5353050770917676, 1053=0.5923421708780112}	
POSITIVE	NEUTRAL	@samdadude you can do it, you just have to believe and never give up	{8=6.0, 9=2.0, 10=1.0, 11=5.539302475282934, 12=9.0, 13=0.8899739762430059, 14=0.29866249993122684, 15=2.0, 16=10.0, 17=1.0, 18=6.5340534053405355, 19=13.0, 20=0.5675567556755676, 21=0.4464446444644464, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0}	
POSITIVE	NEGATIVE	does his character have a fucking baseball bat?! LMAO	{1=1.0, 3=1.0, 4=0.7, 5=2.0, 6=0.6, 7=0.1, 8=3.0, 9=3.0, 10=2.0, 11=4.220112567879092, 12=8.0, 13=0.6712258675044153, 14=0.3002635386807661, 15=1.0, 16=9.0, 17=1.0, 18=5.495649564956496, 19=11.0, 20=0.592959295929593, 21=0.41714171417141716, 24=1.0, 26=1.0, 28=0.0, 169=0.3986299744185066, 211=0.3103021976975385, 390=0.3986299744185066, 440=0.5412489413820036, 1140=0.5412489413820036}	
POSITIVE	NEUTRAL	Do you know where it is? :D :D	{8=2.0, 9=1.0, 11=1.8500635463833581, 12=3.0, 13=0.7648013556561783, 15=3.0, 16=5.0, 18=4.273227322732273, 19=8.0, 20=0.628062806280628, 30=1.0, 32=0.5, 33=1.0}	
POSITIVE	NEGATIVE	Apologies for my ignorance, but is Epsilon no more?	{3=2.0, 4=0.7, 5=2.0, 7=0.3, 9=3.0, 10=2.0, 11=2.0723273381492873, 12=5.0, 14=0.217284616273376, 16=6.0, 17=2.0, 18=3.8139813981398145, 19=8.0, 21=0.4173417341734174, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0}	
POSITIVE	NEGATIVE	3/3 enemy thresh :(	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=1.0, 10=1.0, 11=0.6518373432660092, 12=2.0, 14=0.13202242554619634, 16=1.0, 18=0.5384538453845384, 19=1.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
POSITIVE	NEUTRAL	Hooooooly shit dude	{3=1.0, 4=0.1, 5=1.0, 7=0.1, 8=2.0, 10=1.0, 11=1.6643375495854356, 12=3.0, 13=0.6602661795694251, 14=0.36444813679803256, 16=2.0, 17=1.0, 18=1.4133413341334136, 19=3.0, 21=0.4133413341334134, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 73=0.5043312923344548, 541=0.6105939516455509, 919=0.6105939516455509}	
POSITIVE	NEGATIVE	slap the cap HeyGuys	{9=1.0, 10=1.0, 11=0.7468598183288677, 12=2.0, 14=0.2324202094004633, 16=3.0, 18=1.5461546154615462, 19=3.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
POSITIVE	NEUTRAL	I got a gas station sandwich :D	{8=2.0, 9=2.0, 10=1.0, 11=2.834185203320918, 12=5.0, 13=0.8142850069048235, 14=0.3851075887035988, 15=1.0, 16=5.0, 17=1.0, 18=3.47034703470347, 19=7.0, 20=0.628062806280628, 21=0.4027402740274027}	
POSITIVE	NEGATIVE	I have the pictures message me if you wanna see PogChamp PogChamp PogChamp	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=4.0, 9=2.0, 11=3.6794731427125233, 12=6.0, 13=0.689128891872115, 15=1.0, 16=9.0, 17=1.0, 18=5.524452445244526, 19=11.0, 20=0.5675567556755676, 21=0.41614161416141615, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 43=3.0, 46=2.625, 47=3.0, 48=0.875, 145=0.8992189858269543, 1427=0.437498817745081}	
POSITIVE	NEUTRAL	༼ つ ◕_◕ ༽つ NV TAKE MY ENERGY ༼ つ ◕_◕ ༽つ .	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=1.0, 9=1.0, 10=1.0, 11=1.5116006536199433, 12=3.0, 13=0.7757940546994064, 14=0.24619134338704976, 16=4.0, 18=1.9357935793579362, 19=4.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 749=1.0}	
POSITIVE	NEUTRAL	look at that profile view. gawd i love chairs.	{1=2.0, 4=1.4, 5=2.0, 6=0.8, 8=5.0, 9=2.0, 11=4.627167041709535, 12=7.0, 13=0.9270894656051761, 15=2.0, 16=7.0, 18=4.723772377237724, 19=9.0, 20=0.6082608260826083, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=2.0, 32=2.0, 33=3.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 109=0.43864881417162566, 123=0.3451315670147212, 573=0.5277795708504528, 1537=0.6402500635444728}	
POSITIVE	NEUTRAL	DAT SAVE	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=1.0, 11=0.8252832077994245, 12=1.0, 13=0.8252832077994245, 16=2.0, 18=0.9757975797579759, 19=2.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 1336=1.0}	
POSITIVE	NEGATIVE	StinkyCheese	{45=1.0, 47=1.0, 49=0.0}	
POSITIVE	NEUTRAL	I woke up a while ago to that new trial boss beat him with my left eye closed while in bed LUL	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=5.0, 9=9.0, 10=3.0, 11=9.594254966796328, 12=17.0, 13=0.9270894656051761, 14=0.27783249063309806, 15=3.0, 16=17.0, 17=4.0, 18=11.799279927992801, 19=24.0, 20=0.6082608260826083, 21=0.34503450345034503, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 123=0.3085426707223289, 255=0.4926927556867378, 271=0.3418722447142269, 564=0.5221008701062453, 1100=0.5221008701062453}	
