ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEGATIVE	Mad man :P	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=1.0, 10=1.0, 11=0.7386235468235062, 12=2.0, 13=0.572242059453006, 14=0.1663814873705002, 16=2.0, 17=1.0, 18=1.428042804280428, 19=3.0, 21=0.4043404340434043, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
POSITIVE	NEGATIVE	This chat is my favorite because no one uses xD Kreygasm	{1=1.0, 3=1.0, 4=1.1, 5=2.0, 6=0.7, 7=0.4, 8=3.0, 10=1.0, 11=2.4369185230830173, 12=4.0, 13=0.8431807303157512, 14=0.3117734117530549, 15=2.0, 16=6.0, 17=2.0, 18=4.997299729972998, 19=10.0, 20=0.5824582458245825, 21=0.4173417341734174, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 43=2.0, 46=2.0, 47=2.0, 48=1.0, 68=0.6305163434092581, 99=0.5291323407535837, 132=0.5678627533677939}	
POSITIVE	NEUTRAL	Okay thank you very much	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=2.0, 9=2.0, 11=2.552336361185539, 12=4.0, 13=0.895437314656382, 15=2.0, 16=3.0, 18=2.7974797479747977, 19=5.0, 20=0.697869786978698, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 30=2.0, 32=3.0, 33=4.0, 34=1.0, 50=2.0, 53=1.2999999999999998, 54=2.0, 55=0.7, 241=0.7193363555426622, 249=0.6946619376319684}	
POSITIVE	NEGATIVE	2 hon players destroy masters of dota 2 :D	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=1.0, 9=2.0, 10=1.0, 11=1.8352800717441422, 12=4.0, 13=0.612499105949152, 14=0.1939347590464192, 15=1.0, 16=8.0, 18=4.647564756475648, 19=9.0, 20=0.628062806280628, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 558=0.6126677730418747, 560=0.5588551690178367, 1642=0.5588551690178367}	
POSITIVE	NEUTRAL	Holy *** that hand	{8=2.0, 11=1.2985084480927833, 12=2.0, 13=0.6602661795694251, 16=3.0, 18=1.4627462746274629, 19=3.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 64=0.6739160366960442, 1026=0.738807942217662}	
POSITIVE	NEGATIVE	oh my god , im getting the feeling this hasnt happened the first time xD	{1=2.0, 4=1.2, 5=2.0, 6=0.6, 8=4.0, 9=2.0, 11=3.819770352723692, 12=6.0, 13=0.8349059458507788, 15=1.0, 16=10.0, 17=3.0, 18=6.661966196619662, 19=14.0, 20=0.5725572557255726, 21=0.3513351335133514, 30=2.0, 32=1.0, 33=2.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 69=0.2891023345378544, 72=0.29964160853575655, 85=0.31254063742471666, 99=0.2959108968763725, 178=0.35260868085992303, 510=0.45618307061719804, 709=0.31757041426051247, 1057=0.45618307061719804}	
POSITIVE	NEGATIVE	HAHAHAHAHA	{15=1.0, 18=0.5890589058905891, 19=1.0, 20=0.5890589058905891}	
POSITIVE	NEUTRAL	!sr Crazy Realistic Knocking Sound	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=2.0, 9=3.0, 11=2.91331833161859, 12=5.0, 13=0.7139092304560485, 16=5.0, 18=2.52975297529753, 19=5.0, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=2.0, 31=1.0, 32=2.0, 33=3.0, 34=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 1333=1.0}	
POSITIVE	NEUTRAL	Woooop	{9=1.0, 11=0.5144231033742855, 12=1.0}	
POSITIVE	NEGATIVE	Feel you never luck ;p	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=2.0, 10=1.0, 11=1.7402135818702997, 12=3.0, 13=0.7524166882155847, 14=0.29866249993122684, 15=3.0, 16=1.0, 17=1.0, 18=2.5729572957295734, 19=5.0, 20=0.581958195819582, 21=0.40764076407640765, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 852=0.7272929858796735, 1062=0.6863271178455861}	
