ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEGATIVE	slap the cap HeyGuys	{9=1.0, 10=1.0, 11=0.7468598183288677, 12=2.0, 14=0.2324202094004633, 16=3.0, 18=1.5461546154615462, 19=3.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 346=1.0}	
POSITIVE	NEUTRAL	dat warmup APM though... cohhOMy	{9=1.0, 11=0.5144231033742855, 12=1.0, 16=2.0, 18=0.9651965196519653, 19=2.0, 30=1.0, 32=0.5, 33=1.0}	
POSITIVE	NEUTRAL	wb ani	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=1.0, 9=2.0, 11=1.8225102747074393, 12=3.0, 13=0.8266916817509092, 15=2.0, 16=1.0, 18=1.7699769976997701, 19=3.0, 20=0.72987298729873, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 1000=1.0}	
POSITIVE	NEUTRAL	Thanks for asking been here all day	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=3.0, 9=2.0, 11=3.254312076013579, 12=5.0, 13=0.8899464669861409, 15=1.0, 16=6.0, 18=3.720472047204721, 19=7.0, 20=0.675967596759676, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 498=0.6946619376319684, 689=0.7193363555426622}	
POSITIVE	NEUTRAL	PETA = PEOPLE EATING TASTY ANIMALS	{8=2.0, 9=1.0, 11=1.8995802087402414, 12=3.0, 13=0.7744185918561597, 15=2.0, 16=2.0, 17=1.0, 18=2.4651465146514653, 19=5.0, 20=0.5796579657965797, 21=0.34623462346234624, 88=0.577958059757152, 100=0.8160664685929377}	
POSITIVE	NEUTRAL	guys stop being so negative tim is an awesome streamer and he is just streaming what he wants to play	{1=1.0, 3=2.0, 4=1.6, 5=3.0, 6=0.9, 7=0.3, 8=4.0, 9=7.0, 10=1.0, 11=6.639480185082282, 12=12.0, 13=0.9078384876510946, 14=0.1732918126949719, 15=1.0, 16=17.0, 17=1.0, 18=9.408040804080409, 19=19.0, 20=0.6312631263126313, 21=0.4257425742574258, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=2.0, 30=1.0, 31=1.0, 32=2.5, 33=4.0, 34=1.0, 35=0.0, 50=2.0, 53=1.4, 54=2.0, 55=0.8, 231=0.29916524127094585, 484=0.3801826421715706, 575=0.3671417534092387, 722=0.3474777434768538, 726=0.4612000430721954, 762=0.3474777434768538, 832=0.420691342621883}	
POSITIVE	NEGATIVE	epic sax guy :D	{8=3.0, 11=2.217317627381614, 12=3.0, 13=0.8156769753021893, 15=2.0, 16=2.0, 18=2.2254225422542255, 19=4.0, 20=0.628062806280628, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 221=0.5930206189934117, 917=0.8051872735262714}	
POSITIVE	NEUTRAL	I can't wait till you may me2 FeelsBirthdayMan	{8=2.0, 9=6.0, 11=4.32578112534868, 12=8.0, 13=0.7083688661234506, 15=2.0, 16=7.0, 18=4.539653965396539, 19=9.0, 20=0.5675567556755676, 31=1.0, 33=1.0, 35=0.0, 505=0.7629237895302889, 583=0.6464884309628003}	
POSITIVE	NEUTRAL	Woooop	{9=1.0, 11=0.5144231033742855, 12=1.0}	
POSITIVE	NEGATIVE	Johanna ist love johanna ist live	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=2.0, 11=1.8472741077372536, 12=2.0, 13=0.9270894656051761, 15=5.0, 16=1.0, 18=3.393539353935394, 19=6.0, 20=0.6082608260826083, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 105=0.2612283009163099, 264=0.8729803518640002, 519=0.4119042122384574}	
