ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEGATIVE	Yum!	{15=1.0, 18=0.6266626662666267, 19=1.0, 20=0.6266626662666267}	
POSITIVE	NEUTRAL	I think this game looks good but then again I think that of pretty much any game.	{1=2.0, 4=1.4, 5=2.0, 6=0.8, 8=7.0, 9=6.0, 11=8.51733908460197, 12=13.0, 13=0.911970378032208, 15=2.0, 16=14.0, 17=1.0, 18=8.431943194319432, 19=17.0, 20=0.5824582458245825, 21=0.44904490449044904, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 30=3.0, 31=2.0, 32=3.5, 33=7.0, 34=1.0, 35=0.0, 50=2.0, 53=1.5, 54=2.0, 55=0.8, 198=0.7136822142148482, 833=0.4755932196991968, 1242=0.5142652880464934}	
POSITIVE	NEGATIVE	\ :D /	{15=1.0, 18=0.628062806280628, 19=1.0, 20=0.628062806280628}	
POSITIVE	NEGATIVE	Woooop	{9=1.0, 11=0.5144231033742855, 12=1.0}	
POSITIVE	NEGATIVE	2 hon players destroy masters of dota 2 :D	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=1.0, 9=2.0, 10=1.0, 11=1.8352800717441422, 12=4.0, 13=0.612499105949152, 14=0.1939347590464192, 15=1.0, 16=8.0, 18=4.647564756475648, 19=9.0, 20=0.628062806280628, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 84=0.5942233067772028, 769=0.5420307402403785, 797=0.5942233067772028}	
POSITIVE	NEGATIVE	was insane	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 10=1.0, 11=0.17738519011647425, 12=1.0, 14=0.17738519011647425, 16=2.0, 18=0.9591959195919593, 19=2.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
POSITIVE	NEGATIVE	:DDDD	{15=1.0, 18=0.628062806280628, 19=1.0, 20=0.628062806280628}	
POSITIVE	NEUTRAL	I lovingly call Rocket League "Car Balls"	{8=5.0, 9=1.0, 11=3.6984380243952093, 12=6.0, 13=0.7386235468235062, 15=2.0, 16=4.0, 17=1.0, 18=3.4978497849784977, 19=7.0, 20=0.5895589558955896, 21=0.4255425542554256, 142=0.5286630077207065, 389=0.5286630077207065, 719=0.6641015348087913}	
POSITIVE	NEUTRAL	PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp	{43=39.0, 46=34.125, 47=39.0, 48=0.875, 275=1.0}	
POSITIVE	NEUTRAL	wb ani	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=1.0, 9=2.0, 11=1.8225102747074393, 12=3.0, 13=0.8266916817509092, 15=2.0, 16=1.0, 18=1.7699769976997701, 19=3.0, 20=0.72987298729873, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 374=1.0}	
POSITIVE	NEGATIVE	:D	{15=1.0, 18=0.628062806280628, 19=1.0, 20=0.628062806280628}	
POSITIVE	NEGATIVE	doind loadsa damage FeelsGoodMan	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 10=1.0, 11=0.23655209978157654, 12=1.0, 14=0.23655209978157654, 16=1.0, 17=1.0, 18=0.8916891689168918, 19=2.0, 21=0.43444344434443444, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 226=0.6863271178455861, 1501=0.7272929858796735}	
POSITIVE	NEGATIVE	this is the most comfy stream ever	{8=2.0, 9=2.0, 11=2.628570013809647, 12=4.0, 13=0.8239297523616697, 16=7.0, 18=3.4752475247524752, 19=7.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 30=1.0, 32=0.5, 33=1.0, 150=1.0}	
POSITIVE	NEGATIVE	Conrad is jealous ;)	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=1.0, 10=1.0, 11=0.6684364288583109, 12=2.0, 14=0.15401332548402538, 15=1.0, 16=1.0, 17=2.0, 18=1.9243924392439244, 19=4.0, 20=0.5706570657065707, 21=0.4250425042504251, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 37=1.0, 39=0.5, 40=1.0, 44=1.0, 46=0.5, 47=1.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2}	
POSITIVE	NEUTRAL	Holy *** that hand	{8=2.0, 11=1.2985084480927833, 12=2.0, 13=0.6602661795694251, 16=3.0, 18=1.4627462746274629, 19=3.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 1021=0.6739160366960442, 1479=0.738807942217662}	
POSITIVE	NEGATIVE	wrecked :D	{10=1.0, 11=0.3002635386807661, 12=1.0, 14=0.3002635386807661, 15=1.0, 17=1.0, 18=1.0098009800980097, 19=2.0, 20=0.628062806280628, 21=0.38173817381738173}	
POSITIVE	NEGATIVE	Ohhh Emilcmgaming2003 suup	{9=1.0, 11=0.5144231033742855, 12=1.0, 16=1.0, 18=0.4790479047904791, 19=1.0, 30=1.0, 32=0.5, 33=1.0, 416=1.0}	
POSITIVE	NEUTRAL	speeeeeeeeeeeeeeeeed	{8=1.0, 11=0.7496547588263451, 12=1.0, 13=0.7496547588263451, 16=1.0, 18=0.49744974497449745, 19=1.0}	
POSITIVE	NEUTRAL	tommy falling is the best content this stream has ever seen	{1=1.0, 3=1.0, 4=1.2000000000000002, 5=2.0, 6=0.8, 7=0.4, 8=3.0, 9=2.0, 11=3.0814549095770727, 12=5.0, 13=0.7757940546994064, 15=2.0, 16=7.0, 17=1.0, 18=5.016301630163016, 19=10.0, 20=0.5786578657865787, 21=0.44894489448944896, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 150=0.5197087711436199, 788=0.8543434866588429}	
POSITIVE	NEGATIVE	OHHHHHHHHH	{9=1.0, 11=0.5144231033742855, 12=1.0, 16=1.0, 18=0.4790479047904791, 19=1.0, 30=1.0, 32=0.5, 33=1.0, 416=1.0}	
