ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEUTRAL	thats awesome its gonna be huge $$$	{1=2.0, 4=1.5, 5=2.0, 6=0.9, 8=3.0, 9=1.0, 11=2.7040279053901637, 12=4.0, 13=0.9078384876510946, 15=1.0, 16=6.0, 18=3.5996599659965995, 19=7.0, 20=0.6312631263126313, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 383=0.6017471831252452, 725=0.7986866266570593}	
POSITIVE	NEGATIVE	2 hon players destroy masters of dota 2 :D	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=1.0, 9=2.0, 10=1.0, 11=1.8352800717441422, 12=4.0, 13=0.612499105949152, 14=0.1939347590464192, 15=1.0, 16=8.0, 18=4.647564756475648, 19=9.0, 20=0.628062806280628, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 290=0.6739160366960442, 345=0.738807942217662}	
POSITIVE	NEUTRAL	yeah it was a really sick back door	{1=1.0, 3=1.0, 4=0.8999999999999999, 5=2.0, 6=0.6, 7=0.3, 8=2.0, 9=4.0, 10=1.0, 11=3.4583317286266837, 12=7.0, 13=0.6957256116683265, 14=0.14166166915166956, 16=7.0, 17=1.0, 18=3.685268526852685, 19=8.0, 21=0.2835283528352835, 24=1.0, 26=1.0, 28=0.0, 29=1.0, 30=2.0, 31=1.0, 32=2.0, 33=4.0, 34=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 183=0.5651954507373625, 236=0.8249570306784406}	
POSITIVE	NEUTRAL	uh no bly is so good	{1=1.0, 3=1.0, 4=1.2000000000000002, 5=2.0, 6=0.8, 7=0.4, 8=1.0, 9=1.0, 10=1.0, 11=1.7381668931595486, 12=3.0, 13=0.911970378032208, 14=0.3117734117530549, 15=1.0, 16=3.0, 17=1.0, 18=2.4400440044004403, 19=5.0, 20=0.5824582458245825, 21=0.4173417341734174, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
POSITIVE	NEUTRAL	O-oooooooooo AAAAE-A-A-I-A-U- JO-oooooooooooo AAE-O-A-A-U-U-A- E-eee-ee-eee AAAAE-A-E-I-E-A- JO-ooo-oo-oo-oo EEEEO-A-AAA-AAAA ichiHype O-oooooooooo AAAAE-A-A-I-A-U- JO-oooooooooooo AAE-O-A-A-U-U-A- E-eee-ee-eee AAAAE-A-E-I-E-A- JO-ooo-oo-oo-oo EEEEO-A-AAA-AAAA ichiHype	{8=6.0, 9=44.0, 11=26.670400589798458, 12=50.0, 13=0.6106394801850823, 15=12.0, 16=62.0, 17=2.0, 18=38.816081608160836, 19=76.0, 20=0.5741574157415742, 21=0.42914291429142915, 30=8.0, 32=4.0, 33=8.0, 132=0.4796493520687819, 285=0.5612254648024502, 649=0.5612254648024502, 848=0.37415030986830017}	
POSITIVE	NEUTRAL	speeeeeeeeeeeeeeeeed	{8=1.0, 11=0.7496547588263451, 12=1.0, 13=0.7496547588263451, 16=1.0, 18=0.49744974497449745, 19=1.0, 1432=1.0}	
POSITIVE	NEGATIVE	Conrad is jealous ;)	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=1.0, 10=1.0, 11=0.6684364288583109, 12=2.0, 14=0.15401332548402538, 15=1.0, 16=1.0, 17=2.0, 18=1.9243924392439244, 19=4.0, 20=0.5706570657065707, 21=0.4250425042504251, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 37=1.0, 39=0.5, 40=1.0, 44=1.0, 46=0.5, 47=1.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2}	
POSITIVE	NEUTRAL	Wb monsti :D	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=1.0, 9=1.0, 11=1.3080871713331537, 12=2.0, 13=0.8266916817509092, 15=2.0, 16=1.0, 18=1.8295829582958296, 19=3.0, 20=0.72987298729873, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 461=1.0}	
POSITIVE	NEUTRAL	Ive never been so happy for it to be raining today Kreygasm	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=4.0, 9=3.0, 10=2.0, 11=5.148351920421222, 12=9.0, 13=0.9917252155350276, 14=0.29866249993122684, 15=1.0, 16=10.0, 17=1.0, 18=5.8069806980698075, 19=12.0, 20=0.6195619561956196, 21=0.37533753375337536, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 180=0.5463902409231294, 583=0.5463902409231294, 1606=0.6347561809450375}	
POSITIVE	NEGATIVE	NICE TORNADO	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=1.0, 10=1.0, 11=1.1086285535082556, 12=2.0, 13=0.7826658670642671, 14=0.3259626864439884, 15=1.0, 17=1.0, 18=0.9941994199419942, 19=2.0, 20=0.5973597359735974, 21=0.39683968396839686, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 117=0.5594605207770658, 1718=0.8288569995432592}	
