ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEUTRAL	DO IT	{8=1.0, 9=1.0, 11=1.08526219072718, 12=2.0, 13=0.5708390873528943, 16=2.0, 18=0.9915991599159917, 19=2.0}	
POSITIVE	NEGATIVE	I swear half of oranges mods are in REAF xD	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=5.0, 10=1.0, 11=2.8719609148478464, 12=6.0, 14=0.2998453979764191, 15=2.0, 16=7.0, 18=4.50925092509251, 19=9.0, 20=0.5725572557255726, 31=1.0, 33=1.0, 35=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 174=0.444340761602619, 401=0.5478708080372983, 991=0.7088010054161623}	
POSITIVE	NEGATIVE	4head	{45=1.0, 46=0.25, 47=1.0, 49=0.25}	
POSITIVE	NEGATIVE	navi fanboys 4Head	{16=1.0, 18=0.5431543154315432, 19=1.0, 45=1.0, 46=0.25, 47=1.0, 49=0.25, 273=0.5540781683284787, 1034=0.8324646439229465}	
POSITIVE	NEUTRAL	just play for fun, nobody wants to pay me lol	{1=2.0, 3=1.0, 4=1.9, 5=3.0, 6=0.9, 7=0.4, 8=4.0, 9=4.0, 10=1.0, 11=5.638478848132398, 12=9.0, 13=0.9779980963594249, 14=0.4405497449891889, 15=3.0, 16=7.0, 17=2.0, 18=5.998599859985999, 19=12.0, 20=0.592959295929593, 21=0.3851385138513852, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 50=2.0, 53=1.2999999999999998, 54=2.0, 55=0.7, 96=0.5469399370225483, 112=0.4497409575870564, 127=0.48412852869897594, 229=0.5140129804374725}	
POSITIVE	NEUTRAL	ember pls :) ember pls :) ember pls :) ember pls :) ember pls :) ember pls :) ember pls :) ember pls :) ember pls :) ember pls :)	{1=10.0, 4=5.999999999999999, 5=10.0, 6=0.6, 8=10.0, 9=10.0, 11=11.666620817905232, 12=20.0, 13=0.6522389784162372, 15=10.0, 16=10.0, 18=11.806180618061806, 19=20.0, 20=0.6752675267526753, 29=10.0, 32=10.0, 33=10.0, 34=1.0, 36=10.0, 39=10.0, 40=10.0, 41=1.0, 43=10.0, 46=10.0, 47=10.0, 48=1.0, 50=10.0, 53=7.000000000000001, 54=10.0, 55=0.7, 336=1.0}	
POSITIVE	NEUTRAL	Toooop top	{1=2.0, 4=1.4, 5=2.0, 6=0.7, 8=2.0, 11=1.3039717865061595, 12=2.0, 13=0.6519858932530798, 16=2.0, 18=1.0667066706670667, 19=2.0, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 363=1.0}	
POSITIVE	NEGATIVE	doind loadsa damage FeelsGoodMan	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 10=1.0, 11=0.23655209978157654, 12=1.0, 14=0.23655209978157654, 16=1.0, 17=1.0, 18=0.8916891689168918, 19=2.0, 21=0.43444344434443444, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 291=0.75789002938856, 494=0.6523823291241169}	
POSITIVE	NEGATIVE	DAT WARD 4Head	{10=1.0, 11=0.43599971390372866, 12=1.0, 14=0.43599971390372866, 16=2.0, 18=0.9796979697969798, 19=2.0, 45=1.0, 46=0.25, 47=1.0, 49=0.25}	
POSITIVE	NEUTRAL	@eliteninja24 you misses it, yesterday I actually played really well!! I shot grump on sniper and I never shot anyone	{8=3.0, 9=7.0, 10=5.0, 11=6.859136099297415, 12=15.0, 13=0.6957256116683265, 14=0.21455569799237448, 15=2.0, 16=15.0, 17=2.0, 18=9.094409440944096, 19=19.0, 20=0.5675567556755676, 21=0.31963196319631965, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 30=2.0, 32=2.0, 33=3.0, 34=1.0, 50=2.0, 52=3.0, 53=2.0, 54=5.0, 55=0.6, 56=0.2, 162=0.38692535274935236, 409=0.38692535274935236, 658=0.31895552730550947, 1243=0.7738507054987047}	
POSITIVE	NEGATIVE	StinkyCheese	{45=1.0, 47=1.0, 49=0.0}	
POSITIVE	NEUTRAL	wow big raid	{1=2.0, 4=1.5, 5=2.0, 6=0.9, 8=2.0, 10=1.0, 11=1.502473082192158, 12=3.0, 13=0.612499105949152, 14=0.2874717342385713, 16=3.0, 18=1.5125512551255127, 19=3.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 52=1.0, 53=1.1, 54=2.0, 55=0.8, 56=0.3, 227=0.6464884309628003, 241=0.7629237895302889}	
