ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEUTRAL	Thanks for asking been here all day	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=3.0, 9=2.0, 11=3.254312076013579, 12=5.0, 13=0.8899464669861409, 15=1.0, 16=6.0, 18=3.720472047204721, 19=7.0, 20=0.675967596759676, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 116=0.671595086041434, 1151=0.7409183763445192}	
POSITIVE	NEGATIVE	what is that, looks yummi KappaPride	{16=5.0, 18=2.515751575157516, 19=5.0, 43=1.0, 46=0.625, 47=1.0, 48=0.625, 202=0.7071067811865476, 343=0.7071067811865476}	
POSITIVE	NEUTRAL	God GuardiaN	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=2.0, 11=1.3589847983846566, 12=2.0, 13=0.7207480317126714, 16=2.0, 18=1.0550055005500552, 19=2.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 344=0.5713380538812102, 1422=0.8207148275663303}	
POSITIVE	NEUTRAL	NA FIGHT	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=1.0, 10=2.0, 11=1.247852902501692, 12=3.0, 13=0.6340003411147852, 14=0.3002635386807661, 16=2.0, 17=1.0, 18=1.4306430643064307, 19=3.0, 21=0.42464246424642466, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 747=1.0}	
POSITIVE	NEGATIVE	When i was testing AB against Voll's, i used vaal ice nova on him first time, and he died :p rip dream	{1=1.0, 3=1.0, 4=0.8, 5=2.0, 6=0.6, 7=0.2, 8=7.0, 9=6.0, 10=1.0, 11=8.014871504261185, 12=14.0, 13=0.8486605742832464, 14=0.27780498137623316, 16=19.0, 17=2.0, 18=10.002800280028005, 19=21.0, 21=0.26392639263926393, 24=2.0, 26=2.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=2.0, 53=0.6, 54=2.0, 56=0.3, 90=0.6916788922999585, 296=0.7222051716421742}	
POSITIVE	NEUTRAL	all the shinnies!	{8=1.0, 11=0.6340003411147852, 12=1.0, 13=0.6340003411147852, 16=2.0, 18=1.009100910091009, 19=2.0}	
POSITIVE	NEUTRAL	Do you know where it is? :D :D	{8=2.0, 9=1.0, 11=1.8500635463833581, 12=3.0, 13=0.7648013556561783, 15=3.0, 16=5.0, 18=4.273227322732273, 19=8.0, 20=0.628062806280628, 30=1.0, 32=0.5, 33=1.0}	
POSITIVE	NEUTRAL	What's up swoogs! Pb on hyyyyyype!!!!!!	{8=4.0, 9=2.0, 11=3.5661845210913476, 12=6.0, 13=0.7042699868505753, 15=1.0, 16=6.0, 18=3.61986198619862, 19=7.0, 20=0.5526552655265528, 24=1.0, 26=1.0, 28=0.0, 150=0.5881824134544267, 151=0.5881824134544267, 625=0.5550521570139616}	
POSITIVE	NEGATIVE	TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard	{45=24.0, 47=24.0, 49=0.0, 70=1.0}	
POSITIVE	NEUTRAL	great choice of music	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=3.0, 11=2.441551081939073, 12=3.0, 13=0.8816936899266604, 15=2.0, 16=2.0, 18=2.2312231223122314, 19=4.0, 20=0.6176617661766177, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 784=1.0}	
POSITIVE	NEUTRAL	@briarrabbit home sweet home. Time to kick my feet up n relax and enjoy the rabbit hole entertainment	{1=2.0, 4=1.4, 5=2.0, 6=0.7, 8=9.0, 9=2.0, 11=8.196614160665066, 12=11.0, 13=0.9023146288726157, 15=4.0, 16=11.0, 17=2.0, 18=8.646564656465644, 19=17.0, 20=0.6272627262726272, 21=0.4162416241624163, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=3.0, 31=2.0, 32=3.0, 33=5.0, 34=1.0, 35=0.0, 50=3.0, 52=1.0, 53=2.6, 54=4.0, 55=0.8, 56=0.3, 90=0.40336040403886214, 740=0.5589998371448259, 777=0.4608022879692788, 1647=0.5589998371448259}	
POSITIVE	NEUTRAL	@RoseBell69 arent thos ethings the most important things in life PogChamp	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=2.0, 9=3.0, 11=3.05354401756191, 12=5.0, 13=0.7647628426965676, 16=7.0, 17=1.0, 18=4.050805080508051, 19=8.0, 21=0.44454445444544455, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 43=1.0, 46=0.875, 47=1.0, 48=0.875, 164=0.7949430035646755, 200=0.6066841196896227}	
POSITIVE	NEUTRAL	got myself a steam controller and preordered some games :D	{8=2.0, 9=1.0, 10=1.0, 11=2.0938450788690397, 12=4.0, 13=0.5694471189555286, 14=0.4359777064982367, 15=1.0, 16=9.0, 18=5.127012701270127, 19=10.0, 20=0.628062806280628, 174=0.7629237895302889, 273=0.6464884309628003}	
POSITIVE	NEUTRAL	well, you're in a poker stream, dont be amazed you'll hear more poker terms	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=7.0, 9=5.0, 11=7.576968149782404, 12=12.0, 13=0.8651771321049533, 15=3.0, 16=12.0, 17=1.0, 18=8.256825682568257, 19=16.0, 20=0.6087608760876088, 21=0.43984398439843986, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 50=1.0, 53=0.6, 54=1.0, 55=0.6, 87=0.42915802905291667, 134=0.3728442847337153, 154=0.39065970314004067, 284=0.5119548426293844, 555=0.5119548426293844}	
POSITIVE	NEGATIVE	rekt	{43=1.0, 46=1.0, 47=1.0, 48=1.0, 1045=1.0}	
POSITIVE	NEGATIVE	oh my god , im getting the feeling this hasnt happened the first time xD	{1=2.0, 4=1.2, 5=2.0, 6=0.6, 8=4.0, 9=2.0, 11=3.819770352723692, 12=6.0, 13=0.8349059458507788, 15=1.0, 16=10.0, 17=3.0, 18=6.661966196619662, 19=14.0, 20=0.5725572557255726, 21=0.3513351335133514, 30=2.0, 32=1.0, 33=2.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 90=0.36586708598134365, 132=0.3213321603817728, 143=0.3213321603817728, 180=0.3213321603817728, 344=0.35297393032398156, 489=0.4179696088776548, 1457=0.5070394600767965}	
POSITIVE	NEUTRAL	tommy falling is the best content this stream has ever seen	{1=1.0, 3=1.0, 4=1.2000000000000002, 5=2.0, 6=0.8, 7=0.4, 8=3.0, 9=2.0, 11=3.0814549095770727, 12=5.0, 13=0.7757940546994064, 15=2.0, 16=7.0, 17=1.0, 18=5.016301630163016, 19=10.0, 20=0.5786578657865787, 21=0.44894489448944896, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 134=0.5311504160443766, 1459=0.8472775433917068}	
