ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEGATIVE	I swear half of oranges mods are in REAF xD	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=5.0, 10=1.0, 11=2.8719609148478464, 12=6.0, 14=0.2998453979764191, 15=2.0, 16=7.0, 18=4.50925092509251, 19=9.0, 20=0.5725572557255726, 31=1.0, 33=1.0, 35=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 134=0.46113938981566466, 284=0.5426541151278325, 1429=0.7020519742122129}	
POSITIVE	NEGATIVE	damn so good at the gold blings Kappa	{1=1.0, 3=1.0, 4=0.9, 5=2.0, 6=0.8, 7=0.1, 8=3.0, 9=2.0, 10=1.0, 11=3.793565034634155, 12=6.0, 13=0.911970378032208, 14=0.42087512447938735, 15=1.0, 16=5.0, 17=1.0, 18=3.483848384838484, 19=7.0, 20=0.5824582458245825, 21=0.3698369836983698, 22=2.0, 24=1.0, 25=2.0, 26=3.0, 27=1.0, 28=0.0, 29=2.0, 30=1.0, 31=1.0, 32=2.5, 33=4.0, 34=1.0, 35=0.0, 43=1.0, 46=0.625, 47=1.0, 48=0.625, 50=1.0, 52=1.0, 53=1.0, 54=2.0, 55=0.7, 56=0.3, 95=0.5873757821675426, 291=0.8093143335707502, 1703=1.0}	
POSITIVE	NEUTRAL	AND YOU THOUGHT NA`VI WAS BACK SoBayed	{8=2.0, 9=2.0, 10=1.0, 11=2.6865870365377953, 12=5.0, 13=0.756504563785714, 14=0.3002635386807661, 15=2.0, 16=5.0, 17=1.0, 18=4.028502850285029, 19=8.0, 20=0.576957695769577, 21=0.42464246424642466, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 73=0.6126677730418747, 74=0.5588551690178368, 1313=0.5588551690178368}	
POSITIVE	NEUTRAL	sub-human or post-human? Kappa	{8=3.0, 9=3.0, 11=3.581793273436512, 12=6.0, 13=0.7138817211991836, 15=1.0, 16=5.0, 18=3.168016801680168, 19=6.0, 20=0.5541554155415541, 43=1.0, 46=0.625, 47=1.0, 48=0.625, 95=0.25646947696725425, 706=0.38211003093246276, 974=0.8878149197016997, 1703=1.0}	
POSITIVE	NEUTRAL	Thanks for asking been here all day	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=3.0, 9=2.0, 11=3.254312076013579, 12=5.0, 13=0.8899464669861409, 15=1.0, 16=6.0, 18=3.720472047204721, 19=7.0, 20=0.675967596759676, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 100=0.6980005846267523, 250=0.7160971888373197}	
POSITIVE	NEUTRAL	DAT SAVE	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=1.0, 11=0.8252832077994245, 12=1.0, 13=0.8252832077994245, 16=2.0, 18=0.9757975797579759, 19=2.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 783=1.0}	
POSITIVE	NEUTRAL	PogChamp / AMPTropPunch LOOK AT THESE STACKED CANS PogChamp / AMPTropPunch LOOK AT THESE STACKED CANS PogChamp / AMPTropPunch LOOK AT THESE STACKED CANS	{8=3.0, 9=6.0, 11=5.021913874018608, 12=9.0, 13=0.645125084590965, 15=3.0, 16=9.0, 17=3.0, 18=7.216921692169217, 19=15.0, 20=0.550955095509551, 21=0.4093409340934094, 30=3.0, 32=1.5, 33=3.0, 43=3.0, 46=2.625, 47=3.0, 48=0.875, 89=0.7869196377994417, 249=0.6170554947860002}	
POSITIVE	NEGATIVE	DAT WARD 4Head	{10=1.0, 11=0.43599971390372866, 12=1.0, 14=0.43599971390372866, 16=2.0, 18=0.9796979697969798, 19=2.0, 45=1.0, 46=0.25, 47=1.0, 49=0.25}	
POSITIVE	NEGATIVE	What are good mics for Twitch streams.I only like Ron because he provides me SPLOOGE!!	{1=2.0, 4=1.5, 5=2.0, 6=0.8, 8=3.0, 9=5.0, 10=1.0, 11=5.302673349582136, 12=9.0, 13=0.911970378032208, 14=0.4126388529740258, 15=2.0, 16=9.0, 17=4.0, 18=7.259825982598261, 19=15.0, 20=0.5824582458245825, 21=0.31033103310331034, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 50=2.0, 52=1.0, 53=1.8, 54=3.0, 55=0.7, 56=0.4, 124=0.5532802381660592, 340=0.52984898736365, 805=0.6427604753285809}	
POSITIVE	NEUTRAL	nah, I just think its weird shapes lol	{1=1.0, 3=2.0, 4=1.2999999999999998, 5=3.0, 6=0.6, 7=0.3, 8=2.0, 9=4.0, 10=2.0, 11=4.181390537916009, 12=8.0, 13=0.7455448758507238, 14=0.3117734117530549, 15=2.0, 16=7.0, 17=1.0, 18=4.977097709770977, 19=10.0, 20=0.592959295929593, 21=0.4173417341734174, 24=2.0, 26=2.0, 28=0.0, 29=1.0, 30=1.0, 31=1.0, 32=1.5, 33=3.0, 34=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 84=0.6796011064826182, 85=0.733581853692961}	
