ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEGATIVE	slap the cap HeyGuys	{9=1.0, 10=1.0, 11=0.7468598183288677, 12=2.0, 14=0.2324202094004633, 16=3.0, 18=1.5461546154615462, 19=3.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
POSITIVE	NEGATIVE	uh no bly is so good	{1=1.0, 3=1.0, 4=1.2000000000000002, 5=2.0, 6=0.8, 7=0.4, 8=1.0, 9=1.0, 10=1.0, 11=1.7381668931595486, 12=3.0, 13=0.911970378032208, 14=0.3117734117530549, 15=1.0, 16=3.0, 17=1.0, 18=2.4400440044004403, 19=5.0, 20=0.5824582458245825, 21=0.4173417341734174, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
POSITIVE	NEUTRAL	i knew about trissle from when you hosted him a few weeks ago, but i only learned about stubby when this marathon started :P	{8=5.0, 9=6.0, 10=1.0, 11=6.5076778335910035, 12=12.0, 13=0.6646621588164418, 14=0.4456499612119479, 15=2.0, 16=20.0, 17=1.0, 18=11.418341834183417, 19=23.0, 20=0.5675567556755676, 21=0.44904490449044904, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 697=0.5, 1059=0.5, 1473=0.5, 1653=0.5}	
POSITIVE	NEGATIVE	this is the most comfy stream ever	{8=2.0, 9=2.0, 11=2.628570013809647, 12=4.0, 13=0.8239297523616697, 16=7.0, 18=3.4752475247524752, 19=7.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 30=1.0, 32=0.5, 33=1.0, 95=1.0}	
POSITIVE	NEUTRAL	DARUDE SANDSTORM	{10=1.0, 11=0.40298860566580663, 12=1.0, 14=0.40298860566580663, 1144=0.7071067811865476, 1145=0.7071067811865476}	
POSITIVE	NEUTRAL	Yo whatup HeyGuys	{8=1.0, 10=1.0, 11=0.8830746546212801, 12=2.0, 13=0.6176103258746568, 14=0.2654643287466233, 16=3.0, 18=1.4739473947394741, 19=3.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
POSITIVE	NEGATIVE	FCK YEEEEEEEEEEE	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 9=1.0, 11=0.5144231033742855, 12=1.0, 16=1.0, 17=1.0, 18=0.9292929292929293, 19=2.0, 21=0.39793979397939794, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 32=0.5, 33=1.0, 141=0.7398457318511603, 232=0.6727765550772568}	
POSITIVE	NEUTRAL	I swear half of oranges mods are in REAF xD	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=5.0, 10=1.0, 11=2.8719609148478464, 12=6.0, 14=0.2998453979764191, 15=2.0, 16=7.0, 18=4.50925092509251, 19=9.0, 20=0.5725572557255726, 31=1.0, 33=1.0, 35=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 113=0.44034913754687083, 195=0.5591775905884154, 230=0.7024336689292885}	
POSITIVE	NEUTRAL	all the shinnies!	{8=1.0, 11=0.6340003411147852, 12=1.0, 13=0.6340003411147852, 16=2.0, 18=1.009100910091009, 19=2.0}	
POSITIVE	NEUTRAL	@eliteninja24 you misses it, yesterday I actually played really well!! I shot grump on sniper and I never shot anyone	{8=3.0, 9=7.0, 10=5.0, 11=6.859136099297415, 12=15.0, 13=0.6957256116683265, 14=0.21455569799237448, 15=2.0, 16=15.0, 17=2.0, 18=9.094409440944096, 19=19.0, 20=0.5675567556755676, 21=0.31963196319631965, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 30=2.0, 32=2.0, 33=3.0, 34=1.0, 50=2.0, 52=3.0, 53=2.0, 54=5.0, 55=0.6, 56=0.2, 79=0.31895552730550947, 816=0.38692535274935236, 833=0.38692535274935236, 1721=0.7738507054987047}	
POSITIVE	NEUTRAL	His ego is boosted af tho hahaha	{1=2.0, 4=1.4, 5=2.0, 6=0.8, 9=1.0, 10=1.0, 11=0.9435675104672724, 12=2.0, 14=0.42914440709298685, 15=3.0, 16=3.0, 18=3.226122612261226, 19=6.0, 20=0.5984598459845986, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 769=0.5773502691896257, 800=0.5773502691896257, 1043=0.5773502691896257}	
POSITIVE	NEUTRAL	OpieOP save some for chat	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=3.0, 11=1.9941845430987528, 12=3.0, 13=0.8252832077994245, 16=4.0, 18=2.0644064406440643, 19=4.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 119=0.48817890713391726, 601=0.6171229029251525, 1022=0.6171229029251525}	
POSITIVE	NEUTRAL	Ahhh lol	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 9=2.0, 10=1.0, 11=2.0223595239798193, 12=4.0, 13=0.5529635722420595, 14=0.4405497449891889, 15=1.0, 16=2.0, 17=1.0, 18=1.9962996299629963, 19=4.0, 20=0.592959295929593, 21=0.4162416241624163, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 151=0.4072690012382881, 152=0.4288107324542438, 384=0.5310993454790262, 432=0.606783982644707}	
