ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEUTRAL	You are very good player of this game :D	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=3.0, 9=2.0, 11=3.2990311239732177, 12=5.0, 13=0.911970378032208, 15=3.0, 16=6.0, 18=4.783378337833783, 19=9.0, 20=0.628062806280628, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=2.0, 31=1.0, 32=2.0, 33=4.0, 34=1.0, 35=0.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 153=0.5512567779288703, 668=0.8343356427646372}	
POSITIVE	NEUTRAL	:"D	{9=1.0, 11=0.5268132726662522, 12=1.0, 16=1.0, 18=0.5113511351135114, 19=1.0}	
POSITIVE	NEGATIVE	TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard	{45=24.0, 47=24.0, 49=0.0, 1239=1.0}	
POSITIVE	NEGATIVE	NO we love you MOOOON :"(	{1=1.0, 3=1.0, 4=1.2000000000000002, 5=2.0, 6=0.8, 7=0.4, 8=2.0, 10=1.0, 11=2.028406058638732, 12=3.0, 13=0.9270894656051761, 14=0.3117734117530549, 15=3.0, 16=1.0, 17=1.0, 18=2.718871887188719, 19=5.0, 20=0.6082608260826083, 21=0.4173417341734174, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 108=1.0}	
POSITIVE	NEGATIVE	fat jinx Kreygasm	{10=2.0, 11=0.52399082291191, 12=2.0, 14=0.2035354896922815, 16=2.0, 18=0.9440944094409442, 19=2.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 372=0.6523823291241169, 379=0.75789002938856}	
POSITIVE	NEGATIVE	FCK YEEEEEEEEEEE	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 9=1.0, 11=0.5144231033742855, 12=1.0, 16=1.0, 17=1.0, 18=0.9292929292929293, 19=2.0, 21=0.39793979397939794, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 32=0.5, 33=1.0, 97=0.6475533518149842, 111=0.7620201155830332}	
POSITIVE	NEUTRAL	Go navi so ez game	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=3.0, 9=1.0, 11=2.8252997133535436, 12=4.0, 13=0.8542119423185902, 15=1.0, 16=3.0, 18=1.9911991199119912, 19=4.0, 20=0.5536553655365537, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 31=1.0, 32=1.5, 33=3.0, 34=1.0, 35=0.0, 50=1.0, 53=0.6, 54=1.0, 55=0.6, 112=0.5461654802005158, 153=0.48044568706463986, 267=0.686203475667623}	
POSITIVE	NEGATIVE	i didnt wrung :D	{9=1.0, 11=0.5144231033742855, 12=1.0, 15=1.0, 16=1.0, 17=1.0, 18=1.4905490549054905, 19=3.0, 20=0.628062806280628, 21=0.4043404340434043, 548=1.0}	
POSITIVE	NEUTRAL	SEAGOD is live,later nerds.	{8=1.0, 9=1.0, 11=1.434607745506363, 12=2.0, 13=0.9201846421320775, 15=1.0, 16=3.0, 18=2.1311131113111315, 19=4.0, 20=0.5928592859285929, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 855=0.738807942217662, 1527=0.6739160366960442}	
POSITIVE	NEGATIVE	rekt	{43=1.0, 46=1.0, 47=1.0, 48=1.0, 540=1.0}	
POSITIVE	NEUTRAL	Woooop	{9=1.0, 11=0.5144231033742855, 12=1.0}	
POSITIVE	NEGATIVE	PEW PEW PEW PEW PEW PEW PEW PEW PEW PEW PEW PEW PEW	{8=13.0, 11=7.367050512497454, 12=13.0, 13=0.5666961932690351, 15=13.0, 18=7.5537553755375555, 19=13.0, 20=0.581058105810581, 811=1.0}	
POSITIVE	NEGATIVE	Billy is like "awwww yissss human!"	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=2.0, 9=1.0, 11=2.065714112798957, 12=3.0, 13=0.8500525426806121, 15=1.0, 16=4.0, 17=1.0, 18=2.993699369936994, 19=6.0, 20=0.5543554355435544, 21=0.44354435443544354, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
POSITIVE	NEGATIVE	Cool!	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 11=0.7647683445479404, 12=1.0, 13=0.7647683445479404, 15=1.0, 18=0.6006600660066007, 19=1.0, 20=0.6006600660066007, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 1120=1.0}	
POSITIVE	NEGATIVE	cool!!	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 11=0.7647683445479404, 12=1.0, 13=0.7647683445479404, 15=1.0, 18=0.6006600660066007, 19=1.0, 20=0.6006600660066007, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 1120=1.0}	
POSITIVE	NEUTRAL	Yay! Thank you sooo much for following, Folletto_Burbero ! I appreciate it so much!!	{1=2.0, 4=1.4, 5=2.0, 6=0.7, 8=4.0, 9=6.0, 11=6.0580720412418785, 12=10.0, 13=0.895437314656382, 15=5.0, 16=7.0, 18=6.551355135513552, 19=12.0, 20=0.697869786978698, 22=3.0, 25=3.0, 26=3.0, 27=1.0, 29=2.0, 30=4.0, 32=4.0, 33=6.0, 34=1.0, 50=2.0, 53=1.4, 54=2.0, 55=0.7, 353=0.6115599790509895, 1042=0.7911980738242184}	
POSITIVE	NEUTRAL	one tap'd	{8=2.0, 9=1.0, 11=1.750997210561354, 12=3.0, 13=0.6643485532881815, 16=3.0, 18=1.5520552055205523, 19=3.0, 1770=1.0}	
POSITIVE	NEGATIVE	Taric God demaissssss	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 11=0.6382367666719851, 12=1.0, 13=0.6382367666719851, 15=1.0, 16=1.0, 18=1.0745074507450747, 19=2.0, 20=0.5607560756075608, 194=1.0}	
POSITIVE	NEUTRAL	dig look so good in this tournament	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=4.0, 9=2.0, 11=3.8238802356993133, 12=6.0, 13=0.911970378032208, 15=3.0, 16=4.0, 18=3.6704670467046703, 19=7.0, 20=0.607960796079608, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 30=2.0, 32=3.0, 33=4.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 303=0.5930206189934117, 1511=0.8051872735262714}	
POSITIVE	NEUTRAL	uh no bly is so good	{1=1.0, 3=1.0, 4=1.2000000000000002, 5=2.0, 6=0.8, 7=0.4, 8=1.0, 9=1.0, 10=1.0, 11=1.7381668931595486, 12=3.0, 13=0.911970378032208, 14=0.3117734117530549, 15=1.0, 16=3.0, 17=1.0, 18=2.4400440044004403, 19=5.0, 20=0.5824582458245825, 21=0.4173417341734174, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
POSITIVE	NEUTRAL	Clap	{8=1.0, 11=0.6588687093206864, 12=1.0, 13=0.6588687093206864, 15=1.0, 18=0.6915691569156915, 19=1.0, 20=0.6915691569156915, 72=1.0}	
NEUTRAL	POSITIVE	You need the Arcane Squall helmet to make it work though	{8=3.0, 9=4.0, 10=1.0, 11=4.31080508591141, 12=8.0, 13=0.6643540551395546, 14=0.4208696226280144, 15=1.0, 16=7.0, 17=1.0, 18=4.43944394439444, 19=9.0, 20=0.5675567556755676, 21=0.42704270427042706, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 30=2.0, 31=1.0, 32=1.0, 33=3.0, 35=0.0}	
NEUTRAL	NEGATIVE	Hello everyone	{9=1.0, 11=0.5144231033742855, 12=1.0, 15=2.0, 18=1.2016201620162017, 19=2.0, 20=0.6424642464246425, 184=1.0}	
NEUTRAL	POSITIVE	@bawlsman didn't you see the video when it said April Fools	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=2.0, 9=4.0, 11=3.4868533261442476, 12=6.0, 13=0.7400320207749909, 15=1.0, 16=9.0, 17=1.0, 18=5.495749574957496, 19=11.0, 20=0.5675567556755676, 21=0.37173717371737175, 81=0.7071067811865475, 722=0.7071067811865475}	
NEUTRAL	NEGATIVE	@danisa31 tele?	{16=1.0, 18=0.5306530653065307, 19=1.0}	
NEUTRAL	NEGATIVE	I thought Greg was the grim reaper	{8=1.0, 9=1.0, 10=2.0, 11=1.7247423758094602, 12=4.0, 13=0.756504563785714, 14=0.15813971401376567, 16=5.0, 17=2.0, 18=3.2175217521752177, 19=7.0, 21=0.3720372037203721, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2}	
NEUTRAL	POSITIVE	CASTER BE NEUTRAL	{8=2.0, 9=1.0, 11=1.7744075881534136, 12=3.0, 13=0.6767772355397592, 15=1.0, 16=1.0, 18=1.067006700670067, 19=2.0, 20=0.5694569456945695, 118=1.0}	
NEUTRAL	NEGATIVE	Box of mustaches?	{8=1.0, 11=0.5598408864582932, 12=1.0, 13=0.5598408864582932, 16=2.0, 17=1.0, 18=1.3585358535853587, 19=3.0, 21=0.36623662366236626, 542=1.0}	
NEUTRAL	NEGATIVE	Hangover	{10=1.0, 11=0.17053538515710537, 12=1.0, 14=0.17053538515710537, 16=1.0, 18=0.5032503250325033, 19=1.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2}	
NEUTRAL	POSITIVE	inb4 staff rockets up	{9=4.0, 11=2.0824837557838216, 12=4.0, 15=1.0, 16=4.0, 18=2.531953195319532, 19=5.0, 20=0.5654565456545655}	
NEUTRAL	NEGATIVE	troobe u have lost me	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=1.0, 9=1.0, 10=1.0, 11=1.3218362979142486, 12=3.0, 13=0.6327349152989983, 14=0.17467827924096463, 15=1.0, 16=2.0, 17=1.0, 18=1.871587158715872, 19=4.0, 20=0.5675567556755676, 21=0.34463446344634463, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.4, 54=1.0, 56=0.4}	
NEUTRAL	POSITIVE	after he gave you 200	{9=3.0, 11=1.5432693101228567, 12=3.0, 15=1.0, 16=4.0, 18=2.5604560456045604, 19=5.0, 20=0.5675567556755676}	
NEUTRAL	POSITIVE	The RPer in me screams going to the hospital :3	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=3.0, 10=1.0, 11=1.845579537514374, 12=4.0, 14=0.31081058776278225, 15=1.0, 16=7.0, 17=1.0, 18=4.415441544154415, 19=9.0, 20=0.5815581558155816, 21=0.35513551355135514, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
NEUTRAL	POSITIVE	I got a shiny numel witch is my second shiny ever and now I'm hunting a sandshrew	{8=3.0, 9=8.0, 10=1.0, 11=6.461583322788119, 12=12.0, 13=0.7455448758507238, 14=0.25855950527352456, 15=2.0, 16=14.0, 18=8.013701370137015, 19=16.0, 20=0.5722572257225723, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 52=1.0, 53=0.4, 54=1.0, 56=0.4}	
NEUTRAL	POSITIVE	Hey Immortal	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=1.0, 11=0.6849970014910018, 12=1.0, 13=0.6849970014910018, 15=1.0, 16=1.0, 18=1.084908490849085, 19=2.0, 20=0.6062606260626062, 50=2.0, 53=1.4, 54=2.0, 55=0.7, 623=1.0}	
NEUTRAL	POSITIVE	Swolf, can we fight at Mount Sinai Hospital?	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=2.0, 9=2.0, 10=2.0, 11=2.928327382164098, 12=6.0, 13=0.7083688661234506, 14=0.31081058776278225, 16=6.0, 17=1.0, 18=3.3508350835083505, 19=7.0, 21=0.35513551355135514, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 1122=1.0}	
NEUTRAL	POSITIVE	Time to the next Map start?	{8=3.0, 9=1.0, 11=2.445677470468813, 12=4.0, 13=0.7083743679748236, 16=6.0, 18=3.060406040604061, 19=6.0, 296=0.5789830482925984, 495=0.46082622110158694, 1522=0.6726201184435698}	
NEUTRAL	POSITIVE	Try a jet sweep with your fastest wr!!	{8=3.0, 9=2.0, 11=2.959401838718729, 12=5.0, 13=0.7537756455047123, 15=1.0, 16=6.0, 17=1.0, 18=4.084708470847086, 19=8.0, 20=0.5804580458045805, 21=0.3870387038703871, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 31=1.0, 33=1.0, 35=0.0, 455=0.6739160366960442, 671=0.738807942217662}	
