ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEUTRAL	Wb monsti :D	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=1.0, 9=1.0, 11=1.3080871713331537, 12=2.0, 13=0.8266916817509092, 15=2.0, 16=1.0, 18=1.8295829582958296, 19=3.0, 20=0.72987298729873, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=2.0, 32=2.0, 33=2.0, 34=1.0, 484=1.0}	
POSITIVE	NEGATIVE	DARUDE SANDSTORM	{10=1.0, 11=0.40298860566580663, 12=1.0, 14=0.40298860566580663, 1120=0.7071067811865476, 1121=0.7071067811865476}	
POSITIVE	NEGATIVE	gg	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=2.0, 11=1.672639843307273, 12=2.0, 13=0.911970378032208, 15=1.0, 16=1.0, 18=1.086908690869087, 19=2.0, 20=0.5824582458245825, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 161=1.0}	
POSITIVE	NEUTRAL	NA FIGHT	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=1.0, 10=2.0, 11=1.247852902501692, 12=3.0, 13=0.6340003411147852, 14=0.3002635386807661, 16=2.0, 17=1.0, 18=1.4306430643064307, 19=3.0, 21=0.42464246424642466, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 131=0.6523823291241169, 186=0.75789002938856}	
POSITIVE	NEUTRAL	OH BABY A TRIPLE	{8=2.0, 9=2.0, 11=2.428456675671364, 12=4.0, 13=0.7441694130074771, 16=4.0, 18=2.0075007500750077, 19=4.0, 30=2.0, 32=1.0, 33=2.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 73=0.5233703166496849, 1719=0.85210534070032}	
POSITIVE	NEUTRAL	khezzu stepping up his dark seer game	{8=2.0, 9=2.0, 11=2.363111186914397, 12=4.0, 13=0.7606694652750652, 16=5.0, 18=2.500950095009501, 19=5.0, 24=1.0, 26=1.0, 28=0.0, 31=2.0, 33=2.0, 35=0.0, 52=1.0, 53=0.4, 54=1.0, 56=0.4, 161=0.5623829191341688, 664=0.8268769269160503}	
POSITIVE	NEGATIVE	gg face	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=3.0, 11=2.37413139521449, 12=3.0, 13=0.911970378032208, 15=1.0, 16=2.0, 18=1.5583558355835585, 19=3.0, 20=0.5824582458245825, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 161=1.0}	
POSITIVE	NEUTRAL	I guess he didn't care about my comment lol	{1=2.0, 4=1.2999999999999998, 5=2.0, 6=0.7, 8=3.0, 9=6.0, 10=1.0, 11=5.609159482165751, 12=10.0, 13=0.8775673013969201, 14=0.4405497449891889, 15=2.0, 16=9.0, 17=1.0, 18=5.8924892489248935, 19=12.0, 20=0.592959295929593, 21=0.37173717371737175, 24=1.0, 26=1.0, 28=0.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 107=0.2959725136762558, 108=0.31464724866965116, 130=0.40780502862617857, 185=0.4672855741075877, 814=0.5122808697756757, 1189=0.40780502862617857}	
POSITIVE	NEUTRAL	thats awesome its gonna be huge $$$	{1=2.0, 4=1.5, 5=2.0, 6=0.9, 8=3.0, 9=1.0, 11=2.7040279053901637, 12=4.0, 13=0.9078384876510946, 15=1.0, 16=6.0, 18=3.5996599659965995, 19=7.0, 20=0.6312631263126313, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 429=0.6424158787532067, 582=0.7663562087735345}	
POSITIVE	NEUTRAL	one tap'd	{8=2.0, 9=1.0, 11=1.750997210561354, 12=3.0, 13=0.6643485532881815, 16=3.0, 18=1.5520552055205523, 19=3.0, 1149=1.0}	
POSITIVE	NEUTRAL	COOKIES!!!!!!11	{9=1.0, 11=0.5144231033742855, 12=1.0, 16=2.0, 18=1.0271027102710273, 19=2.0}	
POSITIVE	NEGATIVE	GG	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=2.0, 11=1.672639843307273, 12=2.0, 13=0.911970378032208, 15=1.0, 16=1.0, 18=1.086908690869087, 19=2.0, 20=0.5824582458245825, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 161=1.0}	
POSITIVE	NEGATIVE	doind loadsa damage FeelsGoodMan	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 10=1.0, 11=0.23655209978157654, 12=1.0, 14=0.23655209978157654, 16=1.0, 17=1.0, 18=0.8916891689168918, 19=2.0, 21=0.43444344434443444, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 936=0.6739160366960442, 1379=0.738807942217662}	
POSITIVE	NEUTRAL	Yeah his sdi is incredible	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 9=1.0, 11=1.385113090554972, 12=2.0, 13=0.8706899871806864, 15=1.0, 16=3.0, 18=2.1045104510451047, 19=4.0, 20=0.5960596059605962, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.6, 54=1.0, 55=0.6, 85=1.0}	
POSITIVE	NEUTRAL	End of the giveaway,stop typing #loseinarow and wait for the next game :D	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=2.0, 9=5.0, 11=3.871889390779998, 12=7.0, 13=0.7606694652750652, 15=3.0, 16=10.0, 18=6.800580058005801, 19=13.0, 20=0.6378637863786379, 31=1.0, 33=1.0, 35=0.0, 67=0.5251382040380128, 161=0.3952174874414837, 241=0.47996362251138414, 536=0.5810920110842348}	
POSITIVE	NEUTRAL	Holy *** that hand	{8=2.0, 11=1.2985084480927833, 12=2.0, 13=0.6602661795694251, 16=3.0, 18=1.4627462746274629, 19=3.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 423=0.7071067811865476, 501=0.7071067811865476}	
POSITIVE	NEGATIVE	3/3 enemy thresh :(	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=1.0, 10=1.0, 11=0.6518373432660092, 12=2.0, 14=0.13202242554619634, 16=1.0, 18=0.5384538453845384, 19=1.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 759=1.0}	
POSITIVE	NEUTRAL	THAT WAS SO SICK	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=1.0, 10=1.0, 11=0.6560847725259551, 12=2.0, 14=0.14166166915166956, 16=3.0, 17=1.0, 18=1.7354735473547354, 19=4.0, 21=0.2835283528352835, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 1511=1.0}	
POSITIVE	NEUTRAL	Rawr!	{8=1.0, 11=0.5653152285744154, 12=1.0, 13=0.5653152285744154, 16=1.0, 18=0.5007500750075008, 19=1.0}	
POSITIVE	NEGATIVE	I miss you!	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=1.0, 10=1.0, 11=0.9050270415994983, 12=2.0, 14=0.39060393822521283, 15=1.0, 16=1.0, 17=1.0, 18=1.360836083608361, 19=3.0, 20=0.5675567556755676, 21=0.3351335133513352, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 661=1.0}	
POSITIVE	NEUTRAL	dat warmup APM though... cohhOMy	{9=1.0, 11=0.5144231033742855, 12=1.0, 16=2.0, 18=0.9651965196519653, 19=2.0, 30=1.0, 32=0.5, 33=1.0}	
NEUTRAL	POSITIVE	@Sharyl_sykora (Dana) I got an offbrand lightsaber that I'm trying to attach in my gun, hoping the light will shine through. Best I could think of at the moment.	{1=2.0, 3=1.0, 4=1.9000000000000001, 5=3.0, 6=0.8, 7=0.4, 8=8.0, 9=8.0, 10=2.0, 11=9.948513674851588, 12=18.0, 13=0.8266861798995362, 14=0.3017380348487266, 15=2.0, 16=23.0, 17=3.0, 18=13.78017801780178, 19=28.0, 20=0.6133613361336133, 21=0.407940794079408, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=4.0, 30=2.0, 31=1.0, 32=5.0, 33=7.0, 34=1.0, 35=0.0, 50=2.0, 52=1.0, 53=1.7, 54=3.0, 55=0.7, 56=0.3, 339=0.6739160366960442, 1200=0.738807942217662}	
NEUTRAL	POSITIVE	Wait, you're moving?	{8=2.0, 9=1.0, 11=1.7224536056382975, 12=3.0, 13=0.672628839604527, 15=2.0, 16=2.0, 18=2.0882088208820884, 19=4.0, 20=0.5675567556755676, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 197=0.7071067811865475, 241=0.7071067811865475}	
NEUTRAL	NEGATIVE	suffers from the same problems as vorpal reaver	{3=2.0, 4=0.6, 5=2.0, 7=0.3, 9=2.0, 11=0.9848479013187939, 12=2.0, 16=4.0, 17=2.0, 18=2.827982798279828, 19=6.0, 21=0.3904390439043905, 24=2.0, 26=2.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 52=1.0, 53=0.1, 54=1.0, 56=0.1}	
NEUTRAL	NEGATIVE	dendi been playing poor invoker alot	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=3.0, 10=1.0, 11=1.8974289848534034, 12=4.0, 14=0.33144803226285646, 16=4.0, 17=1.0, 18=2.3026302630263027, 19=5.0, 21=0.2745274527452745, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 50=1.0, 52=1.0, 53=1.0, 54=2.0, 55=0.7, 56=0.3, 139=0.4192198995461622, 462=0.40705330648791466, 471=0.4192198995461622, 998=0.45330806551717795, 1013=0.5266201240584535}	
