ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
POSITIVE	NEUTRAL	I don't swear. :P	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=1.0, 9=2.0, 10=2.0, 11=2.3218197923601296, 12=5.0, 13=0.6753962708451395, 14=0.2998453979764191, 16=7.0, 18=3.4430443044304435, 19=7.0, 24=1.0, 26=1.0, 28=0.0, 29=1.0, 31=2.0, 32=1.0, 33=3.0, 34=1.0, 35=0.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=2.0, 53=0.6, 54=2.0, 56=0.3, 392=0.4938027092373056, 393=0.48649230451749675, 847=0.7207524692952165}	
POSITIVE	NEGATIVE	BLAST	{10=1.0, 11=0.4387286321847302, 12=1.0, 14=0.4387286321847302, 15=1.0, 18=0.5854585458545855, 19=1.0, 20=0.5854585458545855, 31=1.0, 33=1.0, 35=0.0}	
POSITIVE	NEGATIVE	4Head	{45=1.0, 46=0.25, 47=1.0, 49=0.25}	
POSITIVE	NEGATIVE	she's the best	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=1.0, 9=1.0, 11=1.0960128083099965, 12=2.0, 13=0.5815897049357109, 15=1.0, 16=3.0, 18=2.0515051505150517, 19=4.0, 20=0.5786578657865787, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
POSITIVE	NEUTRAL	khezzu stepping up his dark seer game	{8=2.0, 9=2.0, 11=2.363111186914397, 12=4.0, 13=0.7606694652750652, 16=5.0, 18=2.500950095009501, 19=5.0, 24=1.0, 26=1.0, 28=0.0, 31=2.0, 33=2.0, 35=0.0, 52=1.0, 53=0.4, 54=1.0, 56=0.4, 187=0.4220185771220875, 232=0.5914414580658057, 1539=0.6870933868440608}	
POSITIVE	NEUTRAL	great choice of music	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 8=3.0, 11=2.441551081939073, 12=3.0, 13=0.8816936899266604, 15=2.0, 16=2.0, 18=2.2312231223122314, 19=4.0, 20=0.6176617661766177, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 1292=1.0}	
POSITIVE	NEGATIVE	dun dunnn dunnnnnnnnn	{17=3.0, 18=1.3195319531953196, 19=3.0, 21=0.43984398439843986, 135=1.0}	
POSITIVE	NEUTRAL	Woooop	{9=1.0, 11=0.5144231033742855, 12=1.0}	
POSITIVE	NEUTRAL	tom gunna unleash the beast lol	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 9=4.0, 10=2.0, 11=2.9076239154475485, 12=6.0, 14=0.434596741803617, 15=3.0, 16=5.0, 18=4.23062306230623, 19=8.0, 20=0.592959295929593, 24=2.0, 26=2.0, 28=0.0, 31=2.0, 33=2.0, 35=0.0, 57=0.446446616991047, 58=0.4717257571917161, 293=0.7603684818422918}	
POSITIVE	NEGATIVE	"im rotating" lmfao	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 10=2.0, 11=0.740813283669955, 12=2.0, 14=0.3002635386807661, 15=2.0, 16=4.0, 18=3.0953095309530956, 19=6.0, 20=0.592959295929593, 57=0.4030929691590114, 161=0.4216728057271813, 357=0.5172463642567506, 1010=0.6262302306563552}	
POSITIVE	NEUTRAL	WOW THAT FOG PLAY	{1=1.0, 4=0.9, 5=1.0, 6=0.9, 8=3.0, 11=2.097998976655645, 12=3.0, 13=0.8651661284022074, 16=4.0, 18=2.023202320232023, 19=4.0, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=2.0, 53=1.4, 54=2.0, 55=0.8, 89=0.7009998468328833, 136=0.713161422638854}	
POSITIVE	NEGATIVE	DAT WARD 4Head	{10=1.0, 11=0.43599971390372866, 12=1.0, 14=0.43599971390372866, 16=2.0, 18=0.9796979697969798, 19=2.0, 45=1.0, 46=0.25, 47=1.0, 49=0.25}	
POSITIVE	NEGATIVE	3/3 enemy thresh :(	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 9=1.0, 10=1.0, 11=0.6518373432660092, 12=2.0, 14=0.13202242554619634, 16=1.0, 18=0.5384538453845384, 19=1.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
POSITIVE	NEUTRAL	Thanks for asking been here all day	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 8=3.0, 9=2.0, 11=3.254312076013579, 12=5.0, 13=0.8899464669861409, 15=1.0, 16=6.0, 18=3.720472047204721, 19=7.0, 20=0.675967596759676, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 355=0.7524484968154412, 444=0.6586510909731971}	
POSITIVE	NEGATIVE	I'm glad we got rid of those old cow emotes and replaced them with this good goat one	{1=2.0, 4=1.6, 5=2.0, 6=0.8, 8=5.0, 9=2.0, 10=2.0, 11=5.198270217928334, 12=9.0, 13=0.911970378032208, 14=0.2654643287466233, 15=3.0, 16=13.0, 17=2.0, 18=9.091809180918094, 19=18.0, 20=0.6339633963396339, 21=0.40554055405540557, 22=2.0, 25=2.0, 26=2.0, 27=1.0, 29=2.0, 31=2.0, 32=2.0, 33=4.0, 34=1.0, 35=0.0, 50=2.0, 52=1.0, 53=1.7, 54=3.0, 55=0.7, 56=0.3, 1041=1.0}	
POSITIVE	NEGATIVE	doind loadsa damage FeelsGoodMan	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 10=1.0, 11=0.23655209978157654, 12=1.0, 14=0.23655209978157654, 16=1.0, 17=1.0, 18=0.8916891689168918, 19=2.0, 21=0.43444344434443444, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 582=0.7071067811865475, 999=0.7071067811865475}	
